TEAM,Games Played,Won,Offensive Efficiency,Defensive Efficiency,Power Rating,Field Goal Shot,Field Goal Allowed,Turnover allowed,Turn Over Commited,Free Throw Shot,Free Throw Allowed,Two Point Shot,Two Point Allowed,Three Point Shot,Three Point Allowed
Hartford,32,19,101.8,107,0.3602,52.7,51.1,18.1,18.1,31.2,33.4,53.6,50.8,34.4,34.4
Campbell,31,18,104.9,110.3,0.3602,54.6,52,17.2,17.3,34,32.5,52.6,51.8,38.1,34.8
Air Force,29,12,99.8,105,0.3596,47.6,54.9,18.8,20.6,32,33.3,46.8,51.3,32.5,39.7
Pittsburgh,32,8,98.2,103.3,0.3571,48.2,50.1,20.9,16.6,31.9,31.3,47.8,50.1,32.5,33.4
Tennessee Tech,31,19,97.4,102.6,0.3558,49,51,19.8,20.3,37.7,36.6,47.5,51.6,34.5,33.4
Navy,31,20,97.6,102.8,0.3551,49.6,53.2,21.3,21.3,36.2,34,50.2,51.8,32.3,36.8
Central Arkansas,34,18,104.2,109.8,0.3542,51.7,50.9,18.3,19,36.1,37.9,50.7,49.4,35.6,36
Lehigh,29,16,105.2,111,0.3511,52.9,52.4,17.4,16,25.8,30.7,47.7,53.1,40.6,34.3
Manhattan,31,14,98.5,104,0.3501,51.6,50.1,22.7,21.5,37.6,41,46.8,49.1,40,34.5
Niagara,33,19,107.8,113.9,0.3486,50.8,52.6,15,15.5,38,29.5,49.2,50.2,35.8,38
James Madison,31,10,100.7,106.4,0.3462,48,52.8,16.5,18.5,34.1,42,46.7,50.9,33.5,37.2
St. Francis PA,29,18,104.1,110.2,0.3424,52.8,53.6,16.5,18.6,33.5,23.4,51.2,53.8,37,35.5
NJIT,28,14,99.1,105,0.341,49.8,53,18.5,20.3,32.9,33.7,48.1,51.9,35.3,36.9
Bowling Green,30,16,101.4,107.4,0.3406,47.3,52.3,17.6,16.8,36.6,32,45.1,51.2,34.3,36.3
Loyola Marymount,30,11,106.2,112.6,0.3373,49.3,57.5,19.2,19.8,32.5,42.8,48.2,57.7,34.6,38.1
UNC Wilmington,30,11,104.3,110.6,0.3369,48.9,56.6,17.3,15.6,31.1,36.9,47.4,54.8,34.5,39.6
Delaware,31,14,101.8,108,0.3351,50.3,52.9,15.8,14.9,34.4,29.6,50.7,51.2,32.9,37
Cal St. Bakersfield,27,12,96.6,102.5,0.335,46.5,50.5,20.7,19.2,34.7,44.7,47.5,48.5,29.8,35.5
California,31,8,97.1,103.2,0.3301,44.5,54.5,20.8,19.7,38.1,38.4,45.1,51.6,28.6,39.4
UTEP,30,11,96.8,103,0.3286,49.3,50.6,17.8,17.4,30.9,36.4,49,48.8,33.1,35.3
Mount St. Mary's,30,18,102.8,109.5,0.3262,54.1,51.7,16.2,20.2,29.1,27.3,52.3,51.6,37.3,34.6
