,Team,Games_Played,Won,Offensive_Efficiency,Defensive_Efficiency,Power_Rating,Field_Goal_Shot,Field_Goal_Allowed,Turnover_Allowed,Turn_Over_Commited,Free_Throw_Shot,Free_Throw_Allowed,Two_Point_Shot,Two_Point_Allowed,Three_Point_Shot,Three_Point_Allowed,Conference
300,SIU Edwardsville,30,9,Bad,Better,Bad,47.8,54.1,19.4,17.5,33.0,45.9,47.2,53.5,32.4,36.8,B12
301,Dartmouth,26,7,Bad,Better,Poor,51.4,54.4,20.0,18.1,32.8,25.6,49.7,55.5,36.0,35.1,B12
302,East Carolina,30,10,Bad,Better,Poor,48.3,51.5,20.6,17.3,28.7,31.1,49.6,50.6,30.5,35.3,B12
303,Youngstown St.,30,8,Bad,Better,Poor,47.6,58.7,19.4,19.4,28.4,39.8,46.5,57.4,33.2,40.8,B12
304,Central Connecticut,32,14,Bad,Better,Poor,51.0,51.2,21.8,16.6,32.6,30.1,51.8,48.9,32.9,36.4,B12
305,Sacred Heart,30,10,Bad,Better,Poor,48.5,50.9,21.5,14.6,30.0,33.0,50.3,50.9,29.9,33.9,BE
306,Chattanooga,31,10,Bad,Better,Poor,50.1,55.3,20.6,19.2,34.6,27.9,48.6,55.8,34.8,36.2,BE
307,Marist,31,6,Bad,Better,Poor,52.7,52.6,21.7,14.8,35.8,29.8,53.0,50.8,34.9,36.9,BE
308,St. Francis NY,29,13,Bad,Better,Poor,48.7,53.2,17.7,20.9,30.4,45.1,46.4,54.1,34.6,34.1,BE
309,The Citadel,29,11,Bad,Better,Poor,49.1,56.8,18.7,19.6,32.7,30.4,47.9,57.4,33.4,37.3,BE
310,Kennesaw St.,28,10,Bad,Better,Poor,49.4,54.2,19.2,18.8,35.0,32.9,47.5,56.8,36.9,32.8,BE
311,Stetson,28,12,Bad,Better,Poor,48.9,54.6,14.9,18.5,25.0,37.0,48.7,53.6,32.9,37.4,BE
312,Western Carolina,30,12,Bad,Better,Poor,46.8,54.4,21.7,21.0,31.8,36.1,45.3,54.3,33.0,36.3,BE
313,Grambling St.,30,17,Poor,Good,Poor,45.6,49.1,21.0,20.2,40.7,42.9,44.5,50.0,32.6,31.7,BE
314,Norfolk St.,30,14,Poor,Better,Poor,49.4,50.0,21.1,20.2,31.3,43.1,46.1,47.3,37.0,35.7,BE
315,Charlotte,28,6,Bad,Better,Poor,48.3,54.7,20.6,17.6,38.9,31.7,46.5,54.2,34.6,37.1,BE
316,Savannah St.,30,15,Bad,Better,Poor,48.1,56.6,16.7,20.9,29.3,30.8,51.5,58.0,30.2,36.2,BE
317,Detroit,30,8,Bad,Best,Poor,49.1,56.7,18.2,17.2,31.1,37.5,48.5,54.1,33.3,40.6,BE
318,Loyola MD,30,9,Bad,Better,Poor,47.8,54.4,18.9,18.7,33.3,40.4,48.1,54.0,31.3,36.8,BE
319,American,30,6,Bad,Better,Poor,50.7,54.8,20.4,20.4,30.4,40.7,50.7,53.6,33.8,38.3,BE
320,Texas A&M Corpus Chris,26,11,Poor,Good,Poor,48.1,52.3,23.0,21.2,37.0,46.1,46.7,51.6,34.4,35.5,BE
321,Jacksonville,29,15,Poor,Good,Poor,49.0,51.9,19.2,17.8,30.0,28.4,48.8,53.3,33.0,33.0,BE
322,North Carolina A&T,33,20,Bad,Better,Poor,51.2,51.5,19.5,18.0,37.5,31.5,54.3,52.5,30.3,33.1,BE
323,North Carolina Central,32,19,Bad,Better,Poor,50.4,48.5,20.8,16.8,30.3,34.3,51.3,48.1,32.3,32.8,BE
324,Cal St. Northridge,28,6,Bad,Better,Poor,47.7,52.6,18.3,16.4,28.3,32.8,45.9,51.7,34.7,36.3,BE
325,Houston Baptist,28,6,Bad,Best,Poor,46.0,56.1,18.8,18.8,35.5,38.6,44.4,54.2,32.8,39.7,BE
326,Morgan St.,30,13,Bad,Better,Poor,45.6,51.9,18.7,20.5,39.3,41.7,44.8,51.9,32.0,34.6,BE
327,Southern,31,15,Poor,Better,Poor,44.3,48.8,19.3,17.4,41.5,37.6,42.3,47.1,33.2,34.5,BSky
328,USC Upstate,28,7,Good,Best,Poor,50.1,59.5,16.1,15.0,21.6,36.1,49.3,56.7,34.1,43.1,BSky
329,Maine,30,6,Poor,Good,Poor,46.0,51.4,21.8,18.1,29.2,36.7,47.1,51.3,29.6,34.4,BSky
330,Cal Poly,29,9,Bad,Better,Poor,46.6,53.2,17.4,16.3,26.7,34.6,41.5,49.8,35.8,40.1,BSky
331,Northern Arizona,30,5,Poor,Better,Poor,44.9,55.3,22.0,19.0,42.6,37.0,44.5,52.6,30.5,39.4,BSky
332,Arkansas Pine Bluff,35,14,Poor,Better,Poor,49.6,49.2,20.6,22.7,36.6,44.7,49.7,49.1,32.9,32.9,BSky
333,Presbyterian,29,11,Bad,Best,Poor,49.0,55.3,18.8,17.8,28.0,29.3,46.8,55.5,34.6,36.7,BSky
334,VMI,28,9,Poor,Good,Poor,45.7,52.1,21.4,18.8,27.7,34.2,43.7,52.1,32.3,34.6,BSky
335,Incarnate Word,24,7,Poor,Better,Poor,47.6,52.5,23.2,17.7,41.1,33.8,45.4,50.6,34.6,37.6,BSky
336,Alcorn St.,28,11,Poor,Better,Poor,48.3,52.1,20.8,17.9,33.7,40.1,47.8,50.4,32.7,36.3,BSky
337,Jackson St.,30,12,Poor,Better,Poor,43.0,51.8,17.3,21.4,24.9,46.6,39.3,51.5,32.8,34.9,BSky
338,Howard,31,10,Bad,Best,Poor,48.8,53.4,18.0,18.8,34.5,38.3,46.7,53.7,34.9,35.3,BSky
339,Bryant,31,3,Bad,Best,Poor,47.9,57.6,18.2,17.9,27.8,33.0,45.5,55.4,34.4,40.5,BSky
340,Longwood,30,7,Poor,Better,Poor,46.3,52.4,23.0,17.6,35.3,34.2,45.8,53.2,31.5,34.1,BSky
